nombre,precio,descripcion,imagen,stock,categoria
Lego Classic 500 piezas,24999,Set de bloques de construcción en colores surtidos,https://picsum.photos/id/1011/200/200,15,Bloques
Muñeca Elsa Frozen,13999,Muñeca articulada de Elsa con vestido de gala,https://picsum.photos/id/1012/200/200,10,Muñecas
Auto Hot Wheels Monster,3999,Auto Hot Wheels versión Monster Truck,https://picsum.photos/id/1013/200/200,25,Autos
Rompecabezas Animalitos,4999,Puzzle de animales para niños pequeños,https://picsum.photos/id/1014/200/200,20,Didácticos
Set de Té Infantil,8999,"Juego de té con tazas, tetera y pastelitos",https://picsum.photos/id/1015/200/200,8,Imitación
Dinosaurio RC Rugidor,18999,Dinosaurio a control remoto con sonido y luz,https://picsum.photos/id/1016/200/200,5,Electrónicos
Cocina Infantil Grande,32999,Cocinita de madera con accesorios incluidos,https://picsum.photos/id/1017/200/200,3,Imitación
Oso de Peluche Gigante,15999,Peluche de 90cm ultra suave color marrón,https://picsum.photos/id/1018/200/200,6,Peluches
Kit de Pintura Kids,5999,"Set de arte con témperas, pinceles y hojas",https://picsum.photos/id/1019/200/200,18,Arte
Pistola Lanzabolas Espuma,6999,Lanza pelotas de goma espuma segura para interior,https://picsum.photos/id/1020/200/200,12,Acción
Tren de Madera Clásico,10999,Tren de madera con rieles y sonidos,https://picsum.photos/id/1021/200/200,10,Didácticos
Muñeco de Acción Superhero,7999,Figura articulada de superhéroe,https://picsum.photos/id/1022/200/200,30,Acción
Pelota Saltarina,2999,Pelota para saltar y brincar al aire libre,https://picsum.photos/id/1023/200/200,22,Deportes
Set de Construcción Magnético,19999,Construcción con piezas magnéticas seguras,https://picsum.photos/id/1024/200/200,7,Bloques
Carrito de Bebé para Muñecas,6999,Carrito para pasear muñecas,https://picsum.photos/id/1025/200/200,14,Muñecas
Rompecabezas 3D Dinosaurios,10999,Arma dinosaurios en 3D,https://picsum.photos/id/1026/200/200,9,Didácticos
Drone Infantil Básico,25999,Drone fácil de manejar para niños,https://picsum.photos/id/1027/200/200,4,Electrónicos
Set de Herramientas de Juguete,8499,Kit de herramientas para juegos de construcción,https://picsum.photos/id/1028/200/200,16,Imitación
Peluches Animales Salvajes,13999,Peluche de león, elefante y tigre,https://picsum.photos/id/1029/200/200,11,Peluches
Kit de Ciencia Explora,16999,Experimentos científicos para niños curiosos,https://picsum.photos/id/1030/200/200,7,Didácticos
Juego de Mesa Ludo,4999,Juego clásico de mesa para toda la familia,https://picsum.photos/id/1031/200/200,20,Didácticos
Moto Eléctrica Infantil,32999,Moto con batería recargable para niños,https://picsum.photos/id/1032/200/200,2,Electrónicos
Set de Maquillaje para Niñas,5999,Juego seguro de maquillaje infantil,https://picsum.photos/id/1033/200/200,18,Imitación
Muñeca Bailaora Flamenca,12999,Muñeca vestida de flamenca con accesorios,https://picsum.photos/id/1034/200/200,6,Muñecas
Puzzle de Mapamundi,10999,Puzzle educativo de mapa del mundo,https://picsum.photos/id/1035/200/200,15,Didácticos
Carro Control Remoto Racer,18999,Carro a control remoto con luces y sonidos,https://picsum.photos/id/1036/200/200,8,Electrónicos
Kit de Manualidades Creativas,7499,Material para crear joyas y decoraciones,https://picsum.photos/id/1037/200/200,20,Arte
Figura de Dinosaurio T-Rex,8999,Figura realista de dinosaurio T-Rex,https://picsum.photos/id/1038/200/200,14,Acción
Casa de Muñecas de Madera,29999,Casa con muebles para muñecas,https://picsum.photos/id/1039/200/200,4,Muñecas
Pelota de Fútbol Infantil,3999,Pelota para jugar fútbol al aire libre,https://picsum.photos/id/1040/200/200,25,Deportes
Kit de Construcción Robot,24999,Construye y programa un robot,https://picsum.photos/id/1041/200/200,3,Didácticos
Camión Volcador de Juguete,7999,Camión con volquete y accesorios,https://picsum.photos/id/1042/200/200,17,Autos
Muñeco Soldado de Plomo,5999,Muñeco de soldado clásico de plomo,https://picsum.photos/id/1043/200/200,20,Acción
Set de Música Infantil,14999,Juego con instrumentos musicales para niños,https://picsum.photos/id/1044/200/200,10,Didácticos
Triciclo para Niños,18999,Triciclo resistente y seguro,https://picsum.photos/id/1045/200/200,8,Deportes
Pista de Carreras Hot Wheels,21999,Pista con loops y autos Hot Wheels,https://picsum.photos/id/1046/200/200,5,Autos
Set de Plastilina Colorida,3999,Plastilina suave y segura para niños,https://picsum.photos/id/1047/200/200,30,Arte
Robot Programable Infantil,27999,Robot para aprender a programar,https://picsum.photos/id/1048/200/200,4,Didácticos
Carro de Bomberos de Juguete,10999,Carro rojo con sonidos y luces,https://picsum.photos/id/1049/200/200,9,Autos
Muñeca Bebé Realista,13999,Muñeca bebé con sonidos reales,https://picsum.photos/id/1050/200/200,7,Muñecas
Set de Construcción Pirata,21999,Construcción temática de piratas,https://picsum.photos/id/1051/200/200,12,Bloques
Peluches Animales de Granja,11999,Peluche de vaca, cerdo y oveja,https://picsum.photos/id/1052/200/200,15,Peluches
Avión de Juguete con Luz,8999,Avión con luces y sonidos para niños,https://picsum.photos/id/1053/200/200,10,Autos
Puzzle de Números y Letras,4999,Puzzle educativo con números y letras,https://picsum.photos/id/1054/200/200,25,Didácticos
Coche de Carreras RC,25999,Coche rápido a control remoto,https://picsum.photos/id/1055/200/200,6,Electrónicos
Set de Baile para Niñas,7999,Disfraces y accesorios para bailar,https://picsum.photos/id/1056/200/200,18,Imitación
Muñeco Robot Transformer,15999,Muñeco robot transformable,https://picsum.photos/id/1057/200/200,14,Acción
Carrito de Supermercado Juguete,6999,Carrito para juegos de supermercado,https://picsum.photos/id/1058/200/200,20,Imitación
Set de Cocina Miniatura,10999,Utensilios de cocina en miniatura,https://picsum.photos/id/1059/200/200,9,Imitación
Pista de Tren Eléctrico,32999,Pista con tren eléctrico y accesorios,https://picsum.photos/id/1060/200/200,3,Didácticos
Muñeca Hada Mágica,13999,Muñeca con alas de hada y vestido brillante,https://picsum.photos/id/1061/200/200,8,Muñecas
